address,description,category,comments,peripheral
0x40008000,SPI Control Register,CR,,SPI0
0x40008004,SPI Mode Register,CR,,SPI0
0x40008008,SPI Receive Data Register,DR,,SPI0
0x4000800c,SPI Transmit Data Register,DR,,SPI0
0x40008010,SPI Status Register,SR,,SPI0
0x40008030,SPI Chip Select Register,CR,,SPI0
0x40080000,TC Channel Control Register,CR,,TC0
0x40080004,TC Channel Mode Register: Capture Mode,CR,,TC0
0x40080010,TC Counter Value Register,DR,,TC0
0x40080018,TC Register B,CR,,TC0
0x40080024,TC Interrupt Enable Register,CR,,TC0
0x40080040,TC Channel Control Register,CR,,TC0
0x40080044,TC Channel Mode Register: Capture Mode,CR,,TC0
0x4008005c,TC Register C,CR,,TC0
0x400800c4,TC Block Mode Register,CR,,TC0
0x40080020,TC Status Register,SR,,TC0
0x40080028,TC Interrupt Disable Register,CR,,TC0
0x40094000,PWM Disable Register,CR,,PWM
0x40094004,PWM Enable Register,CR,,PWM
0x40094008,PWM Disable Register,CR,,PWM
0x40094280,PWM Channel Mode Register,CR,,PWM
0x40094284,PWM Channel Duty Cycle Register,CR,,PWM
0x4009428c,PWM Channel Period Register,CR,,PWM
0x400942a0,PWM Channel Mode Register,CR,,PWM
0x400942a4,PWM Channel Duty Cycle Register,CR,,PWM
0x400942a8,PWM Channel Duty Cycle Update Register,CR,,PWM
0x400942ac,PWM Channel Period Register,CR,,PWM
0x400942c0,PWM Channel Mode Register,CR,,PWM
0x400942c4,PWM Channel Duty Cycle Register,CR,,PWM
0x400942cc,PWM Channel Period Register,CR,,PWM
0x400942e0,PWM Channel Mode Register,CR,,PWM
0x400942e4,PWM Channel Duty Cycle Register,CR,,PWM
0x400942ec,PWM Channel Period Register,CR,,PWM
0x400c0014,ADC Channel Disable Register,CR,,ADC
0x400c00e4,ADC Write Protect Mode Register,CR,,ADC
0x400c8004,DACC Mode Register,CR,,DACC
0x400c8010,DACC Channel Enable Register,CR,,DACC
0x400c8020,DACC Conversion Data Register,DR,,DACC
0x400c80e4,DACC Write Protect Mode Register,CR,,DACC
0x400e0620,PMC Clock Generator Main Oscillator Register,CR,,PMC
0x400e0628,PMC Clock Generator PLLA Register,CR,,PMC
0x400e0630,PMC Master Clock Register,CR,,PMC
0x400e0668,PMC Status Register,SR,,PMC
0x400e06e4,PMC Write Protect Mode Register,CR,,PMC
0x400e0700,PMC Peripheral Clock Enable Register 1,CR,,PMC
0x400e0704,PMC Peripheral Clock Disable Register 1,CR,,PMC
0x400e0800,UART Control Register,CR,,UART
0x400e0804,UART Mode Register,CR,,UART
0x400e0808,UART Interrupt Enable Register,CR,,UART
