address,Name,category,Comments,peripheral
0x4006a000,UART Baud Rate Registers: High (UART0_BDH)8R/W00,CR,,UART0
0x4006a001,UART Baud Rate Registers: Low (UART0_BDL)8R/W04,CR,,UART0
0x4006a002,UART Control Register 1 (UART0_C1)8R/W00,CR,,UART0
0x4006a003,UART Control Register 2 (UART0_C2)8R/W00,CR,,UART0
0x4006a004,UART Status Register 1 (UART0_S1)8RC0h52.3.5/1584,SR,,UART0
0x4006a005,UART Status Register 2 (UART0_S2)8R/W00,SR,,UART0
0x4006a006,UART Control Register 3 (UART0_C3)8R/W00,CR,,UART0
0x4006a007,UART Data Register (UART0_D)8R/W00,DR,,UART0
0x4006a008,UART Match Address Registers 1 (UART0_MA1)8R/W00,CR,,UART0
0x4006a009,UART Match Address Registers 2 (UART0_MA2)8R/W00,CR,,UART0
0x4006a00a,UART Control Register 4 (UART0_C4)8R/W00,CR,,UART0
0x4006a00b,UART Control Register 5 (UART0_C5)8R/W00,CR,,UART0
0x4006a00c,UART Extended Data Register (UART0_ED)8R00h52.3.13/1595,DR,,UART0
0x4006a00d,UART Modem Register (UART0_MODEM)8R/W00,CR,,UART0
0x4006a00e,UART Infrared Register (UART0_IR)8R/W00,CR,,UART0
0x4006a010,UART FIFO Parameters (UART0_PFIFO)8R/WSee sectio,CR,,UART0
0x4006a011,UART FIFO Control Register (UART0_CFIFO)8R/W00,CR,,UART0
0x4006a012,UART FIFO Status Register (UART0_SFIFO)8R/WC0,SR,,UART0
0x4006a013,UART FIFO Transmit Watermark (UART0_TWFIFO)8R/W00,CR,,UART0
0x4006a014,UART FIFO Transmit Count (UART0_TCFIFO)8R00h52.3.20/1602,CR,CHECK,UART0
0x4006a015,UART FIFO Receive Watermark (UART0_RWFIFO)8R/W01,CR,CHECK,UART0
0x4006a016,UART FIFO Receive Count (UART0_RCFIFO)8R00h52.3.22/1603,CR,CHECK,UART0
0x4006a018,UART 7816 Control Register (UART0_C7816)8R/W00,CR,,UART0
0x4006a019,UART 7816 Interrupt Enable Register (UART0_IE7816)8R/W00,CR,,UART0
0x4006a01a,UART 7816 Interrupt Status Register (UART0_IS7816)8R/W00,SR,,UART0
0x4006a01b,UART 7816 Wait Parameter Register (UART0_WP7816T0)8R/W0A,CR,,UART0
0x4006a01b,UART 7816 Wait Parameter Register (UART0_WP7816T1)8R/W0A,CR,,UART0
0x4006a01c,UART 7816 Wait N Register (UART0_WN7816)8R/W00,CR,,UART0
0x4006a01d,UART 7816 Wait FD Register (UART0_WF7816)8R/W01,CR,,UART0
0x4006a01e,UART 7816 Error Threshold Register (UART0_ET7816)8R/W00,CR,,UART0
0x4006a01f,UART 7816 Transmit Length Register (UART0_TL7816)8R/W00,CR,"hybrid, it is programed with avalue that indicates the number of bytes to transmit and is decremented automatically by hardware",UART0
0x4006b000,UART Baud Rate Registers: High (UART1_BDH)8R/W00,CR,,UART1
0x4006b001,UART Baud Rate Registers: Low (UART1_BDL)8R/W04,CR,,UART1
0x4006b002,UART Control Register 1 (UART1_C1)8R/W00,CR,,UART1
0x4006b003,UART Control Register 2 (UART1_C2)8R/W00,CR,,UART1
0x4006b004,UART Status Register 1 (UART1_S1)8RC0h52.3.5/1584,SR,,UART1
0x4006b005,UART Status Register 2 (UART1_S2)8R/W00,SR,,UART1
0x4006b006,UART Control Register 3 (UART1_C3)8R/W00,CR,,UART1
0x4006b007,UART Data Register (UART1_D)8R/W00,DR,,UART1
0x4006b008,UART Match Address Registers 1 (UART1_MA1)8R/W00,CR,,UART1
0x4006b009,UART Match Address Registers 2 (UART1_MA2)8R/W00,CR,,UART1
0x4006b00a,UART Control Register 4 (UART1_C4)8R/W00,CR,,UART1
0x4006b00b,UART Control Register 5 (UART1_C5)8R/W00,CR,,UART1
0x4006b00c,UART Extended Data Register (UART1_ED)8R00h52.3.13/1595,DR,,UART1
0x4006b00d,UART Modem Register (UART1_MODEM)8R/W00,CR,,UART1
0x4006b00e,UART Infrared Register (UART1_IR)8R/W00,CR,,UART1
0x4006b010,UART FIFO Parameters (UART1_PFIFO)8R/WSee sectio,CR,,UART1
0x4006b011,UART FIFO Control Register (UART1_CFIFO)8R/W00,CR,,UART1
0x4006b012,UART FIFO Status Register (UART1_SFIFO)8R/WC0,SR,,UART1
0x4006b013,UART FIFO Transmit Watermark (UART1_TWFIFO)8R/W00,CR,,UART1
0x4006b014,UART FIFO Transmit Count (UART1_TCFIFO)8R00h52.3.20/1602,DR,ONLY FOR DEBUGGING,UART1
0x4006b015,UART FIFO Receive Watermark (UART1_RWFIFO)8R/W01,CR,,UART1
0x4006b016,UART FIFO Receive Count (UART1_RCFIFO)8R00h52.3.22/1603,SR,number of bytes in buffer,UART1
