adress,name,category,Comments,peripheral
0xa0000000,,,,FSMC
0xa0000004,,,,FSMC
0xa0000008,,,,FSMC
0xa000000c,,,,FSMC
0xa0000010,,,,FSMC
0xa0000014,,,,FSMC
0xa0000018,,,,FSMC
0xa000001c,,,,FSMC
0xa0000060,,,,FSMC
0xa0000064,,,,FSMC
0xa0000068,,,,FSMC
0xa000006c,,,,FSMC
0xa0000074,,,,FSMC
0xa0000080,,,,FSMC
0xa0000084,,,,FSMC
0xa0000088,,,,FSMC
0xa000008c,,,,FSMC
0xa0000094,,,,FSMC
0xa00000a0,,,,FSMC
0xa00000a4,,,,FSMC
0xa00000a8,,,,FSMC
0xa00000ac,,,,FSMC
0xa00000b0,,,,FSMC
0xa0000104,,,,FSMC
0xa000010c,,,,FSMC
0xa0000114,,,,FSMC
0xa000011c,,,,FSMC
0x40007000,Power control register (PWR_CR)  ,CR,,PWR
0x40007004,5.4.2Power control/status register (PWR_CSR)   ,SR,,PWR
0x40021000,Control register (RCC_CR)  ,C&SR,,RCC, hybrid
0x40021004,Clock configuration register (RCC_CFGR)   ,C&SR,,RCC, hybrid
0x40021008,7.3.2Clock interrupt register (RCC_CIR)  ,CR,,RCC
0x4002100c,7.3.4APB2 peripheral reset register (RCC_APB2RSTR)   ,CR,,RCC
0x40021010,APB1 peripheral reset register (RCC_APB1RSTR)   ,CR,,RCC
0x40021014,7.3.5AHB peripheral clock enable register (RCC_AHBENR)   ,CR,,RCC
0x40021018,7.3.7APB2 peripheral clock enable register (RCC_APB2ENR) ,CR,,RCC
0x4002101c,APB1 peripheral clock enable register (RCC_APB1ENR) ,CR,,RCC
0x40021020,7.3.9Backup domain control register (RCC_BDCR)   ,CR,,RCC
0x40021024,Control/status register (RCC_CSR) ,SR,,RCC
0x40010800,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,,GPIOA
0x40010804,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,,GPIOA
0x40010808,9.2.3Port input data register (GPIOx_IDR) (x=A..G)  ,DR,,GPIOA
0x4001080c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,,GPIOA
0x40010810,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,,GPIOA
0x40010814,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,,GPIOA
0x40010818,9.2.7Port configuration lock register (GPIOx_LCKR) (x=A..G)   ,CR,,GPIOA
0x40010c00,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,,GPIOB
0x40010c04,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,,GPIOB
0x40010c08,9.2.3Port input data register (GPIOx_IDR) (x=A..G)  ,DR,,GPIOB
0x40010c0c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,,GPIOB
0x40010c10,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,,GPIOB
0x40010c14,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,,GPIOB
0x40010c18,9.2.7Port configuration lock register (GPIOx_LCKR) (x=A..G)   ,CR,,GPIOB
0x40011000,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,,GPIOC
0x40011004,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,,GPIOC
0x40011008,9.2.3Port input data register (GPIOx_IDR) (x=A..G)  ,DR,,GPIOC
0x4001100c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,,GPIOC
0x40011010,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,,GPIOC
0x40011014,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,,GPIOC
0x40011018,9.2.7Port configuration lock register (GPIOx_LCKR) (x=A..G)   ,CR,,GPIOC
0x40011400,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,,GPIOD
0x40011404,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,,GPIOD
0x40011408,9.2.3Port input data register (GPIOx_IDR) (x=A..G)  ,DR,,GPIOD
0x4001140c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,,GPIOD
0x40011410,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,,GPIOD
0x40011414,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,,GPIOD
0x40011418,9.2.7Port configuration lock register (GPIOx_LCKR) (x=A..G)   ,CR,,GPIOD
0x40011800,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,,GPIOE
0x40011804,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,,GPIOE
0x40011808,9.2.3Port input data register (GPIOx_IDR) (x=A..G)  ,DR,,GPIOE
0x4001180c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,,GPIOE
0x40011810,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,,GPIOE
0x40011814,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,,GPIOE
0x40011818,9.2.7Port configuration lock register (GPIOx_LCKR) (x=A..G)   ,CR,,GPIOE
0x40011c00,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,,GPIOF
0x40011c04,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,,GPIOF
0x40011c08,9.2.3Port input data register (GPIOx_IDR) (x=A..G)  ,DR,,GPIOF
0x40011c0c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,,GPIOF
0x40011c10,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,,GPIOF
0x40011c14,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,,GPIOF
0x40011c18,9.2.7Port configuration lock register (GPIOx_LCKR) (x=A..G)   ,CR,,GPIOF
0x40012000,Port configuration register low (GPIOx_CRL) (x=A..G)  ,CR,,GPIOG
0x40012004,9.2.1Port configuration register high (GPIOx_CRH) (x=A..G)  ,CR,,GPIOG
0x40012008,9.2.3Port input data register (GPIOx_IDR) (x=A..G)  ,DR,,GPIOG
0x4001200c,Port output data register (GPIOx_ODR) (x=A..G)  ,DR,,GPIOG
0x40012010,9.2.4Port bit set/reset register (GPIOx_BSRR) (x=A..G)  ,DR,,GPIOG
0x40012014,9.2.6Port bit reset register (GPIOx_BRR) (x=A..G)  ,DR,,GPIOG
0x40012018,9.2.7Port configuration lock register (GPIOx_LCKR) (x=A..G)   ,CR,,GPIOG
0x40010000,Event control register (AFIO_EVCR)  ,CR,,AFIO
0x40010004,9.4.2AF remap and debug I/O configuration register (AFIO_MAPR) ,CR,,AFIO
0x40010008,External interrupt configuration register 1 (AFIO_EXTICR1) ,CR,,AFIO
0x4001000c,9.4.4External interrupt configuration register 2 (AFIO_EXTICR2) ,CR,,AFIO
0x40010010,External interrupt configuration register 3 (AFIO_EXTICR3) ,CR,,AFIO
0x40010014,9.4.5External interrupt configuration register 4 (AFIO_EXTICR4) ,CR,,AFIO
0x4001001c,9.4.7AF remap and debug I/O configuration register2 (AFIO_MAPR2) ,CR,,AFIO
0x40010400,Interrupt mask register (EXTI_IMR) ,CR,,EXTI
0x40010404,Event mask register (EXTI_EMR)  ,CR,,EXTI
0x40010408,Rising trigger selection register (EXTI_RTSR)   ,CR,,EXTI
0x4001040c,Falling trigger selection register (EXTI_FTSR)   ,CR,,EXTI
0x40010410,10.3.7Software interrupt event register (EXTI_SWIER) ,SR,,EXTI
0x40010414,Pending register (EXTI_PR)   ,SR,,EXTI
0x40020000,DMA interrupt status register (DMA_ISR)  ,SR,,DMA1
0x40020004,DMA interrupt flag clear register (DMA_IFCR)   ,CR,,DMA1
0x40020008,DMA channel x configuration register (DMA_CCRx),CR,,DMA1
0x4002000c,DMA channel x number of data register (DMA_CNDTRx),CR,,DMA1
0x40020010,DMA channel x peripheral address register (DMA_CPARx),CR,,DMA1
0x40020014,DMA channel x memory address register (DMA_CMARx),CR,,DMA1
0x4002001c,,,,DMA1
0x40020020,,,,DMA1
0x40020024,,,,DMA1
0x40020028,,,,DMA1
0x40020030,,,,DMA1
0x40020034,,,,DMA1
0x40020038,,,,DMA1
0x4002003c,,,,DMA1
0x40020044,,,,DMA1
0x40020048,,,,DMA1
0x4002004c,,,,DMA1
0x40020050,,,,DMA1
0x40020058,,,,DMA1
0x4002005c,,,,DMA1
0x40020060,,,,DMA1
0x40020064,,,,DMA1
0x4002006c,DMA channel x configuration register (DMA_CCRx),CR,,DMA1
0x40020070,DMA channel x number of data register (DMA_CNDTRx),CR,,DMA1
0x40020074,DMA channel x peripheral address register (DMA_CPARx),CR,,DMA1
0x40020078,DMA channel x memory address register (DMA_CMARx),CR,,DMA1
0x40020080,DMA channel x configuration register (DMA_CCRx),CR,,DMA1
0x40020084,,,,DMA1
0x40020088,,,,DMA1
0x4002008c,,,,DMA1
0x40020400,DMA interrupt status register (DMA_ISR)  ,SR,,DMA2
0x40020404,DMA interrupt flag clear register (DMA_IFCR)   ,CR,,DMA2
0x40020408,,,,DMA2
0x4002040c,,,,DMA2
0x40020410,,,,DMA2
0x40020414,,,,DMA2
0x4002041c,,,,DMA2
0x40020420,,,,DMA2
0x40020424,,,,DMA2
0x40020428,,,,DMA2
0x40020430,,,,DMA2
0x40020434,,,,DMA2
0x40020438,,,,DMA2
0x4002043c,,,,DMA2
0x40020444,,,,DMA2
0x40020448,,,,DMA2
0x4002044c,,,,DMA2
0x40020450,,,,DMA2
0x40020458,,,,DMA2
0x4002045c,,,,DMA2
0x40020460,,,,DMA2
0x40020464,,,,DMA2
0x4002046c,,,,DMA2
0x40020470,,,,DMA2
0x40020474,,,,DMA2
0x40020478,,,,DMA2
0x40020480,,,,DMA2
0x40020484,,,,DMA2
0x40020488,,,,DMA2
0x4002048c,,,,DMA2
0x40018000,22.9.1SDIO power control register (SDIO_POWER) ,CR,,SDIO
0x40018004,22.9.2SDI clock control register (SDIO_CLKCR) ,CR,,SDIO
0x40018008,22.9.3SDIO argument register (SDIO_ARG) ,CR,,SDIO
0x4001800c,22.9.4SDIO command register (SDIO_CMD)  ,CR,,SDIO
0x40018010,22.9.5SDIO command response register (SDIO_RESPCMD)   ,CR,,SDIO
0x40018014,,,,SDIO
0x40018018,,,,SDIO
0x4001801c,,,,SDIO
0x40018020,,,,SDIO
0x40018024,22.9.7SDIO data timer register (SDIO_DTIMER)   ,CR,,SDIO
0x40018028,22.9.8SDIO data length register (SDIO_DLEN)   ,CR,,SDIO
0x4001802c,22.9.9SDIO data control register (SDIO_DCTRL)  ,CR,,SDIO
0x40018030,22.9.10 SDIO data counter register (SDIO_DCOUNT)   ,SR,,SDIO
0x40018034,22.9.11 SDIO status register (SDIO_STA)  ,SR,,SDIO
0x40018038,22.9.12 SDIO interrupt clear register (SDIO_ICR)  ,CR,,SDIO
0x4001803c,22.9.13 SDIO mask register (SDIO_MASK)  ,CR,,SDIO
0x40018048,2422.9.14 SDIO FIFO counter register (SDIO_FIFOCNT)  ,SR,,SDIO
0x40018080,2422.9.14 SDIO FIFO counter register (SDIO_FIFOCNT)  ,SR,,SDIO
0x40002800,RTC control register high (RTC_CRH)   ,CR,,RTC
0x40002804,RTC control register low (RTC_CRL) ,CR,,RTC
0x40002808,RTC prescaler load register (RTC_PRLH / RTC_PRLL)  ,CR,,RTC
0x4000280c,RTC prescaler load register (RTC_PRLH / RTC_PRLL)  ,CR,,RTC
0x40002810,RTC prescaler divider register (RTC_DIVH / RTC_DIVL)  ,CR,,RTC
0x40002814,RTC prescaler divider register (RTC_DIVH / RTC_DIVL)  ,CR,,RTC
