address,Reg Name,category,Comments,peripheral
0x50060800,RNG control register (RNG_CR)  ,CR,,RNG
0x50060804,RNG status register (RNG_SR) ,SR,,RNG
0x50060808,RNG data register (RNG_DR)  ,DR,,RNG
0x50060400,HASH control register (HASH_CR) for STM32F415/417xx ,CR,,HASH
0x50060404,HASH data input register (HASH_DIN)  ,DR,,HASH
0x50060408,HASH start register (HASH_STR)  ,CR,,HASH
0x5006040c,HASH digest registers (HASH_HR0..4/5/6/7)  ,DR,,HASH
0x50060410,,,,HASH
0x50060414,,,,HASH
0x50060418,,,,HASH
0x5006041c,,,,HASH
0x50060420,HASH interrupt enable register (HASH_IMR)  ,CR,,HASH
0x50060424,HASH status register (HASH_SR) ,SR,,HASH
0x500604f8,,,,HASH
0x500604fc,,,,HASH
0x50060500,,,,HASH
0x50060504,,,,HASH
0x50060508,,,,HASH
0x5006050c,,,,HASH
0x50060510,,,,HASH
0x50060514,,,,HASH
0x50060518,,,,HASH
0x5006051c,,,,HASH
0x50060520,,,,HASH
0x50060524,,,,HASH
0x50060528,,,,HASH
0x5006052c,,,,HASH
0x50060530,,,,HASH
0x50060534,,,,HASH
0x50060538,,,,HASH
0x5006053c,,,,HASH
0x50060540,,,,HASH
0x50060544,,,,HASH
0x50060548,,,,HASH
0x5006054c,,,,HASH
0x50060550,,,,HASH
0x50060554,,,,HASH
0x50060558,,,,HASH
0x5006055c,,,,HASH
0x50060560,,,,HASH
0x50060564,,,,HASH
0x50060568,,,,HASH
0x5006056c,,,,HASH
0x50060570,,,,HASH
0x50060574,,,,HASH
0x50060578,,,,HASH
0x5006057c,,,,HASH
0x50060580,,,,HASH
0x50060584,,,,HASH
0x50060588,,,,HASH
0x5006058c,,,,HASH
0x50060590,,,,HASH
0x50060594,,,,HASH
0x50060598,,,,HASH
0x5006059c,,,,HASH
0x500605a0,,,,HASH
0x500605a4,,,,HASH
0x500605a8,,,,HASH
0x500605ac,,,,HASH
0x500605b0,,,,HASH
0x500605b4,,,,HASH
0x500605b8,,,,HASH
0x500605bc,,,,HASH
0x500605c0,,,,HASH
0x500605c4,,,,HASH
0x500605c8,,,,HASH
0x500605cc,,,,HASH
0x50060710,,,,HASH
0x50060714,,,,HASH
0x50060718,,,,HASH
0x5006071c,,,,HASH
0x50060720,,,,HASH
0x50060724,,,,HASH
0x50060728,,,,HASH
0x5006072c,,,,HASH
0x50060000,23.6.1CRYP control register (CRYP_CR) for STM32F415/417xx  ,CR,,CRYP
0x50060004,23.6.3CRYP status register (CRYP_SR)  ,SR,,CRYP
0x50060008,23.6.4CRYP data input register (CRYP_DIN)  ,DR,,CRYP
0x5006000c,23.6.5CRYP data output register (CRYP_DOUT)  ,DR,,CRYP
0x50060010,23.6.6CRYP DMA control register (CRYP_DMACR) ,CR,,CRYP
0x50060014,23.6.7CRYP interrupt mask set/clear register (CRYP_IMSCR) ,CR,,CRYP
0x50060018,23.6.8CRYP raw interrupt status register (CRYP_RISR)   ,SR,,CRYP
0x5006001c,23.6.9CRYP masked interrupt status register (CRYP_MISR)  ,SR,,CRYP
0x50060020,,,,CRYP
0x50060024,,,,CRYP
0x50060028,,,,CRYP
0x5006002c,,,,CRYP
0x50060030,,,,CRYP
0x50060034,,,,CRYP
0x50060038,,,,CRYP
0x5006003c,,,,CRYP
0x50060040,,,,CRYP
0x50060044,,,,CRYP
0x50060048,,,,CRYP
0x5006004c,,,,CRYP
0x50060050,,,,CRYP
0x50060054,,,,CRYP
0x50060058,,,,CRYP
0x5006005c,,,,CRYP
0x50060060,,,,CRYP
0x50060064,,,,CRYP
0x50060068,,,,CRYP
0x5006006c,,,,CRYP
0x50060070,,,,CRYP
0x50060074,,,,CRYP
0x50060078,,,,CRYP
0x5006007c,,,,CRYP
0x50060080,,,,CRYP
0x50060084,,,,CRYP
0x50060088,,,,CRYP
0x5006008c,,,,CRYP
0x50050000,DCMI control register 1 (DCMI_CR)   ,CR,,DCMI
0x50050004,15.8.1DCMI status register (DCMI_SR)   ,SR,,DCMI
0x50050008,15.8.2DCMI raw interrupt status register (DCMI_RIS) ,SR,,DCMI
0x5005000c,15.8.3DCMI interrupt enable register (DCMI_IER)   ,CR,,DCMI
0x50050010,15.8.4DCMI masked interrupt status register (DCMI_MIS)  ,SR,,DCMI
0x50050014,15.8.5DCMI interrupt clear register (DCMI_ICR) ,CR,,DCMI
0x50050018,15.8.6DCMI embedded synchronization code register (DCMI_ESCR)  ,CR,,DCMI
0x5005001c,DCMI embedded synchronization unmask register (DCMI_ESUR)   . . 474,CR,,DCMI
0x50050020,15.8.8DCMI crop window start (DCMI_CWSTRT) ,CR,,DCMI
0x50050024,15.8.915.8.10 DCMI crop window size (DCMI_CWSIZE) ,CR,,DCMI
0x50050028,15.8.11 DCMI data register (DCMI_DR) ,DR,,DCMI
0xa0000000,,,,FMC
0xa0000004,,,,FMC
0xa0000008,,,,FMC
0xa000000c,,,,FMC
0xa0000010,,,,FMC
0xa0000014,,,,FMC
0xa0000018,,,,FMC
0xa000001c,,,,FMC
0xa0000060,,,,FMC
0xa0000064,,,,FMC
0xa0000068,,,,FMC
0xa000006c,,,,FMC
0xa0000074,,,,FMC
0xa0000080,,,,FMC
0xa0000084,,,,FMC
0xa0000088,,,,FMC
0xa000008c,,,,FMC
0xa0000094,,,,FMC
0xa00000a0,,,,FMC
0xa00000a4,,,,FMC
0xa00000a8,,,,FMC
0xa00000ac,,,,FMC
0xa00000b0,,,,FMC
0xa0000104,,,,FMC
0xa000010c,,,,FMC
0xa0000140,,,,FMC
0xa0000144,,,,FMC
0xa0000148,,,,FMC
0xa000014c,,,,FMC
0xa0000150,,,,FMC
0xa0000154,,,,FMC
0xa0000158,,,,FMC
0xe0042000,,,,DBG
0xe0042004,,,,DBG
0xe0042008,,,,DBG
0xe004200c,,,,DBG
0x40026400,DMA low interrupt status register (DMA_LISR)  ,SR,,DMA2
0x40026404,10.5.1DMA high interrupt status register (DMA_HISR)  ,SR,,DMA2
0x40026408,10.5.2DMA low interrupt flag clear register (DMA_LIFCR)  ,CR,,DMA2
0x4002640c,10.5.3DMA high interrupt flag clear register (DMA_HIFCR)  ,CR,,DMA2
0x40026410,,,,DMA2
0x40026414,,,,DMA2
0x40026418,,,,DMA2
0x4002641c,,,,DMA2
0x40026420,,,,DMA2
0x40026424,,,,DMA2
0x40026428,,,,DMA2
0x4002642c,,,,DMA2
0x40026430,,,,DMA2
0x40026434,,,,DMA2
0x40026438,,,,DMA2
0x4002643c,,,,DMA2
0x40026440,,,,DMA2
0x40026444,,,,DMA2
0x40026448,,,,DMA2
0x4002644c,,,,DMA2
0x40026450,,,,DMA2
0x40026454,,,,DMA2
0x40026458,,,,DMA2
0x4002645c,,,,DMA2
0x40026460,,,,DMA2
0x40026464,,,,DMA2
0x40026468,,,,DMA2
0x4002646c,,,,DMA2
0x40026470,,,,DMA2
0x40026474,,,,DMA2
0x40026478,,,,DMA2
0x4002647c,,,,DMA2
0x40026480,,,,DMA2
0x40026484,,,,DMA2
0x40026488,,,,DMA2
0x4002648c,,,,DMA2
0x40026490,,,,DMA2
0x40026494,,,,DMA2
0x40026498,,,,DMA2
0x4002649c,,,,DMA2
0x400264a0,,,,DMA2
0x400264a4,,,,DMA2
0x400264a8,,,,DMA2
0x400264ac,,,,DMA2
0x400264b0,,,,DMA2
0x400264b4,,,,DMA2
0x400264b8,,,,DMA2
0x400264bc,,,,DMA2
0x400264c0,,,,DMA2
0x400264c4,,,,DMA2
0x400264c8,,,,DMA2
0x400264cc,,,,DMA2
0x40026000,DMA low interrupt status register (DMA_LISR)  ,SR,,DMA1
0x40026004,10.5.1DMA high interrupt status register (DMA_HISR)  ,SR,,DMA1
0x40026008,10.5.2DMA low interrupt flag clear register (DMA_LIFCR)  ,CR,,DMA1
0x4002600c,10.5.3DMA high interrupt flag clear register (DMA_HIFCR)  ,CR,,DMA1
0x40026010,,,,DMA1
0x40026014,,,,DMA1
0x40026018,,,,DMA1
0x4002601c,,,,DMA1
0x40026020,,,,DMA1
0x40026024,,,,DMA1
0x40026028,,,,DMA1
0x4002602c,,,,DMA1
0x40026030,,,,DMA1
0x40026034,,,,DMA1
0x40026038,,,,DMA1
0x4002603c,,,,DMA1
0x40026040,,,,DMA1
0x40026044,,,,DMA1
0x40026048,,,,DMA1
0x4002604c,,,,DMA1
0x40026050,,,,DMA1
0x40026054,,,,DMA1
0x40026058,,,,DMA1
0x4002605c,,,,DMA1
0x40026060,,,,DMA1
0x40026064,,,,DMA1
0x40026068,,,,DMA1
0x4002606c,,,,DMA1
0x40026070,,,,DMA1
0x40026074,,,,DMA1
0x40026078,,,,DMA1
0x4002607c,,,,DMA1
0x40026080,,,,DMA1
0x40026084,,,,DMA1
0x40026088,,,,DMA1
0x4002608c,,,,DMA1
0x40026090,,,,DMA1
0x40026094,,,,DMA1
0x40026098,,,,DMA1
0x4002609c,,,,DMA1
0x400260a0,,,,DMA1
0x400260a4,,,,DMA1
0x400260a8,,,,DMA1
0x400260ac,,,,DMA1
0x400260b0,,,,DMA1
0x400260b4,,,,DMA1
0x400260b8,,,,DMA1
0x400260bc,,,,DMA1
0x400260c0,,,,DMA1
0x400260c4,,,,DMA1
0x400260c8,,,,DMA1
0x400260cc,,,,DMA1
0x40023800,RCC clock control register (RCC_CR) ,CR,,RCC
0x40023804,6.3.2RCC PLL configuration register (RCC_PLLCFGR)  ,CR,,RCC
0x40023808,RCC clock configuration register (RCC_CFGR)  ,CR,,RCC
0x4002380c,6.3.3RCC clock interrupt register (RCC_CIR)  ,CR,,RCC
0x40023810,6.3.5RCC AHB1 peripheral reset register (RCC_AHB1RSTR)  ,CR,,RCC
0x40023814,RCC AHB2 peripheral reset register (RCC_AHB2RSTR)  ,CR,,RCC
0x40023818,6.3.6RCC AHB3 peripheral reset register (RCC_AHB3RSTR)  ,CR,,RCC
0x40023820,6.3.8RCC APB1 peripheral reset register (RCC_APB1RSTR)  ,CR,,RCC
0x40023824,RCC APB2 peripheral reset register (RCC_APB2RSTR)  ,CR,,RCC
0x40023830,6.3.9RCC AHB1 peripheral clock register (RCC_AHB1ENR)  ,CR,,RCC
0x40023834,6.3.11RCC AHB2 peripheral clock enable register (RCC_AHB2ENR)  ,CR,,RCC
0x40023838,RCC AHB3 peripheral clock enable register (RCC_AHB3ENR)  ,CR,,RCC
0x40023840,6.3.12RCC APB1 peripheral clock enable register (RCC_APB1ENR)  ,CR,,RCC
0x40023844,6.3.14RCC APB2 peripheral clock enable register (RCC_APB2ENR)  ,CR,,RCC
0x40023850,6.3.15(RCC_AHB1LPENR)  ,CR,,RCC
0x40023854,RCC AHB2 peripheral clock enable in low power mode register(RCC_AHB2LPENR)  ,CR,,RCC
0x40023858,RCC AHB3 peripheral clock enable in low power mode register(RCC_AHB3LPENR)  ,CR,,RCC
0x40023860,RCC APB1 peripheral clock enable in low power mode register(RCC_APB1LPENR)  ,CR,,RCC
0x40023864,RCC APB2 peripheral clock enabled in low power mode register(RCC_APB2LPENR)  ,CR,,RCC
0x40023870,RCC Backup domain control register (RCC_BDCR)  ,CR,,RCC
0x40023874,RCC clock control & status register (RCC_CSR)   ,SR,HYBRID,RCC
0x40023880,RCC spread spectrum clock generation register (RCC_SSCGR)  ,CR,,RCC
0x40023884,RCC PLLI2S configuration register (RCC_PLLI2SCFGR)   ,CR,,RCC
0x4002388c,RCC Dedicated Clock Configuration Register (RCC_DCKCFGR)   ,CR,,RCC
0x40023888,RCC PLL configuration register (RCC_PLLSAICFGR)  ,CR,,RCC
0x40022800,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOK
0x40022804,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOK
0x40022808,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOK
0x4002280c,GPIO port pull-up/pull-down register (GPIOx_PUPDR)(x = A..I/J/K) ,CR,,GPIOK
0x40022810,GPIO port input data register (GPIOx_IDR) (x = A..I/J/K)  ,DR,,GPIOK
0x40022814,GPIO port output data register (GPIOx_ODR) (x = A..I/J/K)  ,DR,,GPIOK
0x40022818,GPIO port bit set/reset register (GPIOx_BSRR) (x = A..I/J/K) ,DR,,GPIOK
0x4002281c,GPIO port configuration lock register (GPIOx_LCKR)(x = A..I/J/K) ,CR,,GPIOK
0x40022820,GPIO alternate function low register (GPIOx_AFRL) (x = A..I/J/K)  ,CR,,GPIOK
0x40022824,8.4.10 GPIO alternate function high register (GPIOx_AFRH),CR,,GPIOK
0x40022400,GPIO port mode register (GPIOx_MODER) (x = A..I/J/K)  ,CR,,GPIOJ
0x40022404,GPIO port output type register (GPIOx_OTYPER)(x = A..I/J/K) ,CR,,GPIOJ
0x40022408,GPIO port output speed register (GPIOx_OSPEEDR)(x = A..I/J/K) ,CR,,GPIOJ
